c_Cod;d_Inizio;d_Fine;v_Descrizione;b_Bacino;c_CodiceRegione;c_CodAslTerritoriale;c_Provincia;c_ComuneFiscale;c_Regione
001001;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;AGLIE';NULL;010;109;TO;A074 ;150
001001;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;AGLIE';NULL;010;204;TO;A074 ;150
001002;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;AIRASCA;NULL;010;110;TO;A109 ;150
001002;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;AIRASCA;NULL;010;203;TO;A109 ;150
001003;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;ALA DI STURA;NULL;010;106;TO;A117 ;150
001003;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;ALA DI STURA;NULL;010;204;TO;A117 ;150
001004;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;ALBIANO D'IVREA;NULL;010;109;TO;A157 ;150
001004;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;ALBIANO D'IVREA;NULL;010;204;TO;A157 ;150
001005;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;ALICE SUPERIORE;NULL;010;109;TO;A199 ;150
001005;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;ALICE SUPERIORE;NULL;010;204;TO;A199 ;150
001006;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;ALMESE;NULL;010;105;TO;A218 ;150
001006;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;ALMESE;NULL;010;203;TO;A218 ;150
001007;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;ALPETTE;NULL;010;109;TO;A221 ;150
001007;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;ALPETTE;NULL;010;204;TO;A221 ;150
001008;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;ALPIGNANO;NULL;010;106;TO;A222 ;150
